OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
1,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Repulse,Operational,Hydroelectric - Gravity,Water,28,1,Ouse,Tasmania,5,146.646965,-42.507682
2,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Gordon,Operational,Hydroelectric - Gravity,Water,432,3,Southwest,Tasmania,5,145.9828373,-42.7405051
3,Power Station,A facility used for the generation of electrical power for distribution,Renewable,John Butters,Operational,Hydroelectric - Gravity,Water,144,1,Queenstown,Tasmania,4,145.5344821,-42.1548215
4,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Tribute,Operational,Hydroelectric - Gravity,Water,82.8,1,West Coast,Tasmania,2,145.6538253,-41.8128572
5,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bastyan,Operational,Hydroelectric - Gravity,Water,79.9,1,Tullah,Tasmania,5,145.5321174,-41.7359699
6,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Reece,Operational,Hydroelectric - Gravity,Water,238,2,West Coast,Tasmania,5,145.1359538,-41.7237565
7,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mackintosh,Operational,Hydroelectric - Gravity,Water,79.9,1,Tullah,Tasmania,5,145.6461239,-41.6997366
8,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Cethana,Operational,Hydroelectric - Gravity,Water,85,1,Cethana,Tasmania,4,146.1349143,-41.4787249
9,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Wilmot,Operational,Hydroelectric - Gravity,Water,81.6,1,Cethana,Tasmania,5,146.1250783,-41.4832989
10,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Devils Gate,Operational,Hydroelectric - Gravity,Water,60,1,Barrington,Tasmania,5,146.2631723,-41.350454
11,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Paloona,Operational,Hydroelectric - Gravity,Water,28,1,Paloona,Tasmania,5,146.2489694,-41.282603
12,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bell Bay (Bell Bay Three),Operational,Open Cycle Gas Turbine,Natural Gas,115,3,Bell Bay,Tasmania,5,146.9030027,-41.1428834
13,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Trevallyn,Operational,Hydroelectric - Gravity,Water,80,4,Trevallyn,Tasmania,5,147.1118772,-41.42262
14,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Poatina,Operational,Hydroelectric - Gravity,Water,100,6,Poatina,Tasmania,4,146.9191729,-41.8114714
15,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Lake Echo,Operational,Hydroelectric - Gravity,Water,32.4,1,Dee,Tasmania,5,146.6207044,-42.2536892
16,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Codrington Wind Farm,Operational,Wind Turbine,Wind,18.2,14,Codrington,Victoria,3,141.9547351,-38.2835029
17,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Yambuk Wind Farm,Operational,Wind Turbine,Wind,30,20,Yambuk,Victoria,3,142.0151374,-38.3079251
18,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Macarthur Wind Farm,Operational,Wind Turbine,Wind,420,140,Gerrigerrup,Victoria,5,142.1864846,-38.0064337
19,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mortlake,Operational,Open Cycle Gas Turbine,Natural Gas,566,2,Mortlake,Victoria,5,142.6674852,-38.063156
20,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Mt Mercer Wind Farm,Operational,Wind Turbine,Wind,131,0,Mount Mercer,Victoria,3,143.8891999,-37.8316866
21,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Waubra Wind Farm,Operational,Wind Turbine,Wind,192,128,Waubra,Victoria,2,143.6037364,-37.3574489
22,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Challicum Hills Wind Farm,Operational,Wind Turbine,Wind,52.5,35,Ballyrogan,Victoria,5,143.1139774,-37.3897757
23,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Shepparton Biogas Generation Plant,Operational,Spark Ignition Reciprocating Engine,Biogas,1.1,0,Shepparton North,Victoria,4,145.3789894,-36.321762
