index,postcode,place_name,state_name,state_code,latitude,longitude,accuracy,geometry,index_right,LGA_CODE25,LGA_NAME25,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM,dist_to_LGA (m)
0,200,Australian National University,Australian Capital Territory,ACT,-35.2777,149.1189,1.0,POINT (1549606.0540046073 -3956980.5091730575),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
1,221,Barton,Australian Capital Territory,ACT,-35.3049,149.1412,4.0,POINT (1551208.038033446 -3960247.8283696272),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
2,2540,Wreck Bay,Australian Capital Territory,ACT,-35.1627,150.6907,4.0,POINT (1692776.324000392 -3964264.7781904563),563,99399,Unincorp. Other Territories,9,Other Territories,AUS,Australia,105.8806,
3,2540,Hmas Creswell,Australian Capital Territory,ACT,-35.028,150.5501,3.0,POINT (1682300.1914025617 -3947584.416290231),99,16950,Shoalhaven,1,New South Wales,AUS,Australia,4567.2011,
4,2540,Jervis Bay,Australian Capital Territory,ACT,-35.1333,150.7,4.0,POINT (1694089.4551300644 -3961153.408236666),563,99399,Unincorp. Other Territories,9,Other Territories,AUS,Australia,105.8806,
5,2600,Deakin West,Australian Capital Territory,ACT,-35.3126,149.1278,3.0,POINT (1549888.2559411263 -3960933.4818038577),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
6,2600,Duntroon,Australian Capital Territory,ACT,-35.3,149.1667,4.0,POINT (1553574.7626204914 -3960017.8686337443),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
7,2600,Parliament House,Australian Capital Territory,ACT,-35.3126,149.1278,3.0,POINT (1549888.2559411263 -3960933.4818038577),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
8,2600,Yarralumla,Australian Capital Territory,ACT,-35.2998,149.1058,4.0,POINT (1548099.356136881 -3959256.5649826713),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
9,2600,Russell,Australian Capital Territory,ACT,-35.2977,149.151,4.0,POINT (1552196.6957198386 -3959573.6491336846),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
10,2600,Barton,Australian Capital Territory,ACT,-35.3049,149.1412,4.0,POINT (1551208.038033446 -3960247.8283696272),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
11,2600,Deakin,Australian Capital Territory,ACT,-35.3193,149.1031,4.0,POINT (1547567.1297140357 -3961372.1753434855),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
12,2600,Capital Hill,Australian Capital Territory,ACT,-35.3066,149.1246,4.0,POINT (1549689.5627476214 -3960233.6559887812),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
13,2600,Parkes,Australian Capital Territory,ACT,-35.3018,149.1304,4.0,POINT (1550282.619223148 -3959775.2118144496),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
14,2600,Harman,Australian Capital Territory,ACT,-35.35,149.2,4.0,POINT (1555824.1468616277 -3965930.948549873),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
15,2600,Hmas Harman,Australian Capital Territory,ACT,-35.31,149.1385,3.0,POINT (1550889.338646903 -3960776.899346972),560,89399,Unincorporated ACT,8,Australian Capital Territory,AUS,Australia,2358.133,
